,Non_Res_Travel,Country,Year,Non-resident travellers (thousands)
394,ARRIVALS,HU,2016.0,12.2
395,ARRIVALS,HU,2017.0,11.4
396,ARRIVALS,HU,2018.0,0.0
397,ARRIVALS,HU,2019.0,11.4
398,ARRIVALS,HU,2020.0,0.0
399,ARRIVALS,HU,2021.0,0.0
400,ARRIVALS,UZ,2012.0,14.2
401,ARRIVALS,UZ,2013.0,18.1
402,ARRIVALS,UZ,2014.0,12.4
403,ARRIVALS,UZ,2015.0,7.9
404,ARRIVALS,UZ,2016.0,8.1
405,ARRIVALS,UZ,2017.0,0.0
406,ARRIVALS,UZ,2018.0,0.0
407,ARRIVALS,UZ,2019.0,25.1
408,ARRIVALS,UZ,2020.0,0.0
409,ARRIVALS,UZ,2021.0,15.3
410,ARRIVALS,DE,2012.0,261.2
411,ARRIVALS,DE,2013.0,265.3
412,ARRIVALS,DE,2014.0,298.9
413,ARRIVALS,DE,2015.0,332.4
414,ARRIVALS,DE,2016.0,447.2
415,ARRIVALS,DE,2017.0,485.1
416,ARRIVALS,DE,2018.0,465.2
417,ARRIVALS,DE,2019.0,511.2
418,ARRIVALS,DE,2020.0,100.4
419,ARRIVALS,DE,2021.0,90.8
420,ARRIVALS,SE,2012.0,345.3
421,ARRIVALS,SE,2013.0,346.0
422,ARRIVALS,SE,2014.0,415.4
423,ARRIVALS,SE,2015.0,338.0
424,ARRIVALS,SE,2016.0,125.2
425,ARRIVALS,SE,2017.0,214.9
426,ARRIVALS,SE,2018.0,337.0
427,ARRIVALS,SE,2019.0,204.8
428,ARRIVALS,SE,2020.0,70.3
429,ARRIVALS,SE,2021.0,37.3
430,ARRIVALS,EU28,2012.0,0.0
431,ARRIVALS,EU28,2013.0,4640.3
432,ARRIVALS,EU28,2014.0,5004.1
433,ARRIVALS,EU28,2015.0,5599.5
434,ARRIVALS,EU28,2016.0,5631.3
435,ARRIVALS,EU28,2017.0,6286.8
436,ARRIVALS,EU28,2018.0,6220.5
437,ARRIVALS,EU28,2019.0,6358.3
438,ARRIVALS,EU28,2020.0,0.0
439,ARRIVALS,EU28,2021.0,0.0
440,ARRIVALS,EU27_2007,2012.0,4457.4
441,ARRIVALS,EU27_2007,2013.0,0.0
